Block Name,Point ID,cauchy_strain_0,cauchy_strain_1,cauchy_strain_2,cauchy_strain_3,cauchy_stress_0,cauchy_stress_1,cauchy_stress_2,cauchy_stress_3,displacement_0,displacement_1,displacement_2,displacement_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,stress_xy
step02_gravity_refstate-mantle.xmf,0,1.10181e-06,2.15721e-06,0,-7.72256e-10,-1.38365e+09,-1.38351e+09,-1.3838e+09,-103.212,-1.84647e-19,0.024901,-0,0.024901,-40000,-48814.3,-0,63109.7,103.212
step02_gravity_refstate-mantle.xmf,1,1.29305e-06,2.1597e-06,0,3.04512e-10,-1.45506e+09,-1.45494e+09,-1.45523e+09,40.6981,-3.95922e-20,0.020137,-0,0.020137,-40000,-51021.4,-0,64831.9,40.6981
step02_gravity_refstate-mantle.xmf,2,1.21519e-06,2.16206e-06,0,-4.6057e-08,-1.42523e+09,-1.4251e+09,-1.42539e+09,-6155.52,0.00212325,0.0221779,0,0.0222793,-38251.1,-50099.5,-0,63032.6,6155.52
step02_gravity_refstate-mantle.xmf,3,1.38376e-06,2.17271e-06,0,-3.85884e-08,-1.49388e+09,-1.49377e+09,-1.49406e+09,-5157.34,0.00230599,0.0175748,0,0.0177255,-38331,-52221.3,-0,64779.1,5157.34
step02_gravity_refstate-mantle.xmf,4,1.45347e-06,2.17941e-06,0,2.0061e-10,-1.52677e+09,-1.52667e+09,-1.52696e+09,26.8115,-4.05535e-20,0.0153282,-0,0.0153282,-40000,-53237.6,-0,66590.1,26.8115
step02_gravity_refstate-mantle.xmf,5,1.00954e-06,2.16426e-06,0,-4.95182e-08,-1.35258e+09,-1.35242e+09,-1.35271e+09,-6618.1,0.00183793,0.02704,0,0.0271024,-38181,-47853.9,-0,61219.1,6618.1
step02_gravity_refstate-mantle.xmf,6,1.12564e-06,2.17632e-06,0,-9.43254e-08,-1.39406e+09,-1.39392e+09,-1.39421e+09,-12606.6,0.00393931,0.0244271,0,0.0247427,-36507.7,-49136.1,-0,61214.1,12606.6
step02_gravity_refstate-mantle.xmf,7,1.04638e-06,2.20291e-06,0,-1.40387e-07,-1.3701e+09,-1.36995e+09,-1.37024e+09,-18762.8,0.00551051,0.0263414,0,0.0269116,-34785,-48395.6,-0,59599.8,18762.8
step02_gravity_refstate-mantle.xmf,8,8.93989e-07,2.18636e-06,0,-1.02703e-07,-1.31701e+09,-1.31683e+09,-1.31713e+09,-13726.3,0.00342459,0.0296689,0,0.0298659,-36199.1,-46754.4,-0,59129.9,13726.3
step02_gravity_refstate-mantle.xmf,9,1.31377e-06,2.1799e-06,0,-8.21376e-08,-1.4645e+09,-1.46439e+09,-1.46468e+09,-10977.7,0.00439141,0.0196678,0,0.0201521,-36656,-51313.4,-0,63061.3,10977.7
step02_gravity_refstate-mantle.xmf,10,1.52086e-06,2.20239e-06,0,-2.99855e-08,-1.56336e+09,-1.56326e+09,-1.56356e+09,-4007.57,0.00253188,0.0128778,0,0.0131243,-38332.3,-54368.4,-0,66522.8,4007.57
step02_gravity_refstate-mantle.xmf,11,8.92414e-07,2.16254e-06,0,-1.03618e-09,-1.31235e+09,-1.31218e+09,-1.31247e+09,-138.486,-1.48513e-19,0.0296603,-0,0.0296603,-40000,-46610.6,-0,61421.1,138.486
step02_gravity_refstate-mantle.xmf,12,8.77472e-07,2.21453e-06,0,-1.4696e-07,-1.31655e+09,-1.31637e+09,-1.31667e+09,-19641.2,0.00498027,0.0300824,0,0.0304919,-34432.2,-46740.3,-0,58053.7,19641.2
step02_gravity_refstate-mantle.xmf,13,9.56277e-07,2.23859e-06,0,-1.79773e-07,-1.34581e+09,-1.34564e+09,-1.34594e+09,-24026.6,0.00668208,0.0284297,0,0.0292045,-33180.4,-47644.8,-0,58060,24026.6
step02_gravity_refstate-mantle.xmf,14,1.23445e-06,2.19949e-06,0,-1.28134e-07,-1.43495e+09,-1.43482e+09,-1.43511e+09,-17125.1,0.0062204,0.0218928,0,0.0227594,-34974,-50400,-0,61346,17125.1
step02_gravity_refstate-mantle.xmf,15,1.45887e-06,2.1984e-06,0,-6.74594e-08,-1.52936e+09,-1.52926e+09,-1.52956e+09,-9015.94,0.00477806,0.0152741,0,0.016004,-36719.2,-53317.8,-0,64738.6,9015.94
step02_gravity_refstate-mantle.xmf,16,1.57543e-06,2.22177e-06,0,1.8713e-10,-1.59897e+09,-1.59888e+09,-1.59918e+09,25.01,-4.10666e-20,0.0104181,-0,0.0104181,-40000,-55468.9,-0,68387.1,25.01
step02_gravity_refstate-mantle.xmf,17,7.88411e-07,2.17157e-06,0,-4.65302e-08,-1.27978e+09,-1.27959e+09,-1.27988e+09,-6218.76,0.00146028,0.0319198,0,0.0319532,-38155,-45603.7,-0,59460.1,6218.76
step02_gravity_refstate-mantle.xmf,18,7.61616e-07,2.24795e-06,0,-1.72642e-07,-1.28621e+09,-1.28601e+09,-1.28631e+09,-23073.6,0.00546186,0.0325824,0,0.033037,-33123.7,-45802.3,-0,56524.6,23073.6
step02_gravity_refstate-mantle.xmf,19,7.19876e-07,2.21228e-06,0,-1.25014e-07,-1.26649e+09,-1.26629e+09,-1.26659e+09,-16708.2,0.0038001,0.0333917,0,0.0336072,-34872.1,-45192.9,-0,57083,16708.2
step02_gravity_refstate-mantle.xmf,20,8.40328e-07,2.28683e-06,0,-2.13189e-07,-1.31777e+09,-1.31757e+09,-1.31788e+09,-28492.8,0.00749355,0.0310084,0,0.031901,-31539.8,-46777.8,-0,56417.4,28492.8
step02_gravity_refstate-mantle.xmf,21,6.9768e-07,2.35388e-06,0,-2.37955e-07,-1.28814e+09,-1.28792e+09,-1.28823e+09,-31802.6,0.00801448,0.0341068,0,0.0350358,-29702.2,-45861.9,-0,54640,31802.6
step02_gravity_refstate-mantle.xmf,22,6.25303e-07,2.29854e-06,0,-1.91707e-07,-1.25783e+09,-1.25761e+09,-1.25791e+09,-25621.7,0.00590263,0.0352804,0,0.0357707,-31488,-44924.9,-0,54861.1,25621.7
step02_gravity_refstate-mantle.xmf,23,1.15028e-06,2.23138e-06,0,-1.72176e-07,-1.40771e+09,-1.40756e+09,-1.40786e+09,-23011.3,0.00775081,0.0241111,0,0.0253263,-33327.9,-49558.1,-0,59722.3,23011.3
step02_gravity_refstate-mantle.xmf,24,1.04889e-06,2.27576e-06,0,-2.12742e-07,-1.37894e+09,-1.37877e+09,-1.37908e+09,-28432.9,0.00894775,0.0266394,0,0.028102,-31674.4,-48668.7,-0,58068.1,28432.9
step02_gravity_refstate-mantle.xmf,25,1.39495e-06,2.20999e-06,0,-1.09162e-07,-1.49925e+09,-1.49914e+09,-1.49943e+09,-14589.5,0.00684684,0.0174941,0,0.0187863,-35087.1,-52387.2,-0,63051.8,14589.5
step02_gravity_refstate-mantle.xmf,26,1.61973e-06,2.25579e-06,0,-1.87869e-08,-1.63362e+09,-1.63353e+09,-1.63383e+09,-2510.87,0.00271712,0.00803815,0,0.00848497,-38318.4,-56539.5,-0,68300.9,2510.87
step02_gravity_refstate-mantle.xmf,27,1.57637e-06,2.23998e-06,0,-4.97865e-08,-1.59825e+09,-1.59816e+09,-1.59846e+09,-6653.96,0.0052577,0.0105535,0,0.0117907,-36657.2,-55446.8,-0,66468.8,6653.96
step02_gravity_refstate-mantle.xmf,28,1.65102e-06,2.29241e-06,0,1.74148e-10,-1.67186e+09,-1.67177e+09,-1.67208e+09,23.2748,-3.76962e-20,0.00533652,-0,0.00533652,-40000,-57721,-0,70226.2,23.2748
step02_gravity_refstate-mantle.xmf,29,7.13806e-07,2.18822e-06,0,-8.39156e-08,-1.25948e+09,-1.25928e+09,-1.25958e+09,-11215.3,0.00253027,0.0335033,0,0.0335987,-36513.2,-44976.3,-0,57931.7,11215.3
step02_gravity_refstate-mantle.xmf,30,6.7607e-07,2.1676e-06,0,-1.42941e-09,-1.24106e+09,-1.24086e+09,-1.24115e+09,-191.041,-1.20899e-19,0.0344312,-0,0.0344312,-40000,-44407.1,-0,59766.1,191.041
step02_gravity_refstate-mantle.xmf,31,5.09133e-07,2.34955e-06,0,-1.99212e-07,-1.23606e+09,-1.23582e+09,-1.23613e+09,-26624.6,0.00605423,0.0376495,0,0.0381332,-30084.6,-44252,-0,53510,26624.6
step02_gravity_refstate-mantle.xmf,32,4.79518e-07,2.40612e-06,0,-2.21519e-07,-1.23985e+09,-1.23959e+09,-1.23992e+09,-29606,0.00690767,0.0384147,0,0.0390308,-28631.9,-44368.9,-0,52805.2,29606
step02_gravity_refstate-mantle.xmf,33,6.32635e-07,2.42475e-06,0,-2.57103e-07,-1.2824e+09,-1.28216e+09,-1.28248e+09,-34361.8,0.00890456,0.0357014,0,0.0367951,-28048.6,-45684.2,-0,53607.5,34361.8
step02_gravity_refstate-mantle.xmf,34,9.34563e-07,2.33446e-06,0,-2.46365e-07,-1.35113e+09,-1.35094e+09,-1.35125e+09,-32926.7,0.009854,0.0293832,0,0.0309915,-29977.5,-47809.1,-0,56430.1,32926.7
step02_gravity_refstate-mantle.xmf,35,1.32346e-06,2.23537e-06,0,-1.52972e-07,-1.47028e+09,-1.47016e+09,-1.47046e+09,-20444.7,0.00869818,0.0197653,0,0.0215946,-33440.3,-51492,-0,61397.8,20444.7
step02_gravity_refstate-mantle.xmf,36,1.52262e-06,2.23855e-06,0,-8.66894e-08,-1.56281e+09,-1.56272e+09,-1.56302e+09,-11586,0.00746889,0.0131249,0,0.0151013,-35082,-54351.7,-0,64690.4,11586
step02_gravity_refstate-mantle.xmf,37,1.6649e-06,2.32213e-06,0,-1.03003e-08,-1.6937e+09,-1.69361e+09,-1.69392e+09,-1376.64,0.00265946,0.00378554,0,0.00462634,-38401,-58396,-0,69890.8,1376.64
step02_gravity_refstate-mantle.xmf,38,1.676e-06,2.3916e-06,0,3.27485e-09,-1.74562e+09,-1.74552e+09,-1.74584e+09,437.684,2.4915e-19,-4.84124e-20,0,2.5381e-19,-40000,-60000,-0,72111,437.684
step02_gravity_refstate-mantle.xmf,39,4.40169e-07,2.48975e-06,0,-2.43021e-07,-1.24613e+09,-1.24586e+09,-1.24619e+09,-32479.8,0.0080138,0.0395729,0,0.0403762,-26801.9,-44562.8,-0,52001.8,32479.8
step02_gravity_refstate-mantle.xmf,40,5.68361e-07,2.1743e-06,0,-4.24933e-08,-1.20813e+09,-1.20791e+09,-1.2082e+09,-5679.23,0.00116967,0.0367522,0,0.0367708,-37964.5,-43388.9,-0,57653.3,5679.23
step02_gravity_refstate-mantle.xmf,41,5.4188e-07,2.20176e-06,0,-8.62044e-08,-1.20816e+09,-1.20794e+09,-1.20823e+09,-11521.2,0.00246734,0.0371721,0,0.0372539,-35641.5,-43389.8,-0,56151.5,11521.2
step02_gravity_refstate-mantle.xmf,42,5.26742e-07,2.2508e-06,0,-1.3515e-07,-1.21759e+09,-1.21736e+09,-1.21766e+09,-18062.8,0.00389656,0.0372941,0,0.0374971,-33282.5,-43681.1,-0,54915.9,18062.8
step02_gravity_refstate-mantle.xmf,43,4.1408e-07,2.31263e-06,0,-1.53784e-07,-1.20106e+09,-1.20081e+09,-1.20112e+09,-20553.2,0.00448393,0.0394764,0,0.0397302,-31211,-43170,-0,53270.8,20553.2
step02_gravity_refstate-mantle.xmf,44,8.21441e-07,2.4038e-06,0,-2.68961e-07,-1.32817e+09,-1.32795e+09,-1.32828e+09,-35946.6,0.0105015,0.0320717,0,0.0337472,-28333.4,-47099.2,-0,54964.7,35946.6
step02_gravity_refstate-mantle.xmf,45,6.86643e-07,2.48079e-06,0,-2.77196e-07,-1.30363e+09,-1.30339e+09,-1.30372e+09,-37047.3,0.010659,0.0351832,0,0.0367624,-26771.9,-46340.4,-0,53517.9,37047.3
step02_gravity_refstate-mantle.xmf,46,3.03875e-07,2.5871e-06,0,-2.29469e-07,-1.23234e+09,-1.23203e+09,-1.23238e+09,-30668.6,0.00798867,0.0426535,0,0.0433952,-25043.5,-44136,-0,50746.1,30668.6
step02_gravity_refstate-mantle.xmf,47,5.6181e-07,2.56257e-06,0,-2.73146e-07,-1.28492e+09,-1.28466e+09,-1.285e+09,-36505.9,0.0106704,0.0381553,0,0.0396192,-25299.9,-45762.1,-0,52290.1,36505.9
step02_gravity_refstate-mantle.xmf,48,1.23633e-06,2.27519e-06,0,-1.97103e-07,-1.44007e+09,-1.43993e+09,-1.44024e+09,-26342.8,0.0102892,0.0223122,0,0.0245703,-31752.3,-50558.4,-0,59702.3,26342.8
step02_gravity_refstate-mantle.xmf,49,1.13818e-06,2.32896e-06,0,-2.3575e-07,-1.41118e+09,-1.41102e+09,-1.41133e+09,-31508,0.0115452,0.0250022,0,0.0275391,-30084.7,-49665.4,-0,58066.7,31508
step02_gravity_refstate-mantle.xmf,50,1.46527e-06,2.25376e-06,0,-1.25905e-07,-1.53168e+09,-1.53157e+09,-1.53188e+09,-16827.2,0.00945653,0.0154888,0,0.0181474,-33531.4,-53389.7,-0,63046.1,16827.2
step02_gravity_refstate-mantle.xmf,51,1.65639e-06,2.31541e-06,0,-2.83461e-08,-1.67579e+09,-1.6757e+09,-1.67601e+09,-3788.46,0.00577273,0.00510195,0,0.00770417,-36509.6,-57842.6,-0,68401.1,3788.46
step02_gravity_refstate-mantle.xmf,52,1.61594e-06,2.29004e-06,0,-6.19643e-08,-1.62687e+09,-1.62678e+09,-1.62709e+09,-8281.53,0.00825338,0.00865908,0,0.0119624,-34875.8,-56331.3,-0,66253.6,8281.53
