Block Name,Point ID,cauchy_strain_0,cauchy_strain_1,cauchy_strain_2,cauchy_strain_3,cauchy_stress_0,cauchy_stress_1,cauchy_stress_2,cauchy_stress_3,displacement_0,displacement_1,displacement_2,displacement_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,stress_xy
step02_gravity_refstate-mantle.xmf,0,2.19125e-06,2.13687e-06,0,-1.53693e-09,-1.38341e+09,-1.38342e+09,-1.38371e+09,-205.411,-3.67191e-19,0.0222743,-0,0.0222743,-40000,-48814.3,-0,63109.7,205.411
step02_gravity_refstate-mantle.xmf,1,2.57211e-06,2.03019e-06,0,6.08135e-10,-1.45479e+09,-1.45486e+09,-1.45513e+09,81.2772,-7.87744e-20,0.0176756,-0,0.0176756,-40000,-51021.4,-0,64831.9,81.2772
step02_gravity_refstate-mantle.xmf,2,2.41707e-06,2.08151e-06,0,-9.15862e-08,-1.42497e+09,-1.42502e+09,-1.4253e+09,-12240.5,0.00422322,0.0196681,0,0.0201165,-38251.1,-50099.5,-0,63032.6,12240.5
step02_gravity_refstate-mantle.xmf,3,2.75273e-06,1.99544e-06,0,-7.67023e-08,-1.4936e+09,-1.4937e+09,-1.49397e+09,-10251.3,0.0045873,0.0153344,0,0.0160058,-38331,-52221.3,-0,64779.1,10251.3
step02_gravity_refstate-mantle.xmf,4,2.89152e-06,1.95739e-06,0,4.03289e-10,-1.52647e+09,-1.5266e+09,-1.52686e+09,53.8996,-8.06849e-20,0.0132557,-0,0.0132557,-40000,-53237.6,-0,66590.1,53.8996
step02_gravity_refstate-mantle.xmf,5,2.00747e-06,2.19951e-06,0,-9.85124e-08,-1.35236e+09,-1.35233e+09,-1.35262e+09,-13166.2,0.00365472,0.024484,0,0.0247553,-38181,-47853.9,-0,61219.1,13166.2
step02_gravity_refstate-mantle.xmf,6,2.23876e-06,2.15866e-06,0,-1.87603e-07,-1.39382e+09,-1.39383e+09,-1.39412e+09,-25073.1,0.00783469,0.0220291,0,0.0233808,-36507.7,-49136.1,-0,61214.1,25073.1
step02_gravity_refstate-mantle.xmf,7,2.08093e-06,2.24908e-06,0,-2.79251e-07,-1.36987e+09,-1.36985e+09,-1.37015e+09,-37321.9,0.0109586,0.0242453,0,0.0266069,-34785,-48395.6,-0,59599.8,37321.9
step02_gravity_refstate-mantle.xmf,8,1.77734e-06,2.29918e-06,0,-2.04362e-07,-1.31681e+09,-1.31674e+09,-1.31704e+09,-27313,0.00680835,0.0274303,0,0.0282626,-36199.1,-46754.4,-0,59129.9,27313
step02_gravity_refstate-mantle.xmf,9,2.61338e-06,2.05568e-06,0,-1.63287e-07,-1.46423e+09,-1.46431e+09,-1.46458e+09,-21823.3,0.00873543,0.0174074,0,0.0194763,-36656,-51313.4,-0,63061.3,21823.3
step02_gravity_refstate-mantle.xmf,10,3.02566e-06,1.94601e-06,0,-5.95769e-08,-1.56305e+09,-1.5632e+09,-1.56346e+09,-7962.46,0.00503702,0.0111026,0,0.0121918,-38332.3,-54368.4,-0,66522.8,7962.46
step02_gravity_refstate-mantle.xmf,11,1.77414e-06,2.25901e-06,0,-2.06338e-09,-1.31215e+09,-1.31209e+09,-1.31239e+09,-275.771,-2.95199e-19,0.027117,-0,0.027117,-40000,-46610.6,-0,61421.1,275.771
step02_gravity_refstate-mantle.xmf,12,1.74449e-06,2.35602e-06,0,-2.9244e-07,-1.31635e+09,-1.31627e+09,-1.31658e+09,-39084.6,0.00990114,0.0282262,0,0.0299124,-34432.2,-46740.3,-0,58053.7,39084.6
step02_gravity_refstate-mantle.xmf,13,1.90155e-06,2.35814e-06,0,-3.57658e-07,-1.3456e+09,-1.34554e+09,-1.34585e+09,-47801,0.0132869,0.0268147,0,0.0299261,-33180.4,-47644.8,-0,58060,47801
step02_gravity_refstate-mantle.xmf,14,2.45547e-06,2.14092e-06,0,-2.54754e-07,-1.43469e+09,-1.43473e+09,-1.43502e+09,-34047.9,0.0123729,0.0197728,0,0.023325,-34974,-50400,-0,61346,34047.9
step02_gravity_refstate-mantle.xmf,15,2.90224e-06,1.99121e-06,0,-1.34051e-07,-1.52907e+09,-1.52919e+09,-1.52945e+09,-17915.9,0.00950538,0.01334,0,0.0163801,-36719.2,-53317.8,-0,64738.6,17915.9
step02_gravity_refstate-mantle.xmf,16,3.13429e-06,1.92895e-06,0,3.7838e-10,-1.59865e+09,-1.59882e+09,-1.59907e+09,50.5705,-8.17037e-20,0.00892,-0,0.00892,-40000,-55468.9,-0,68387.1,50.5705
step02_gravity_refstate-mantle.xmf,17,1.56695e-06,2.32798e-06,0,-9.25978e-08,-1.2796e+09,-1.2795e+09,-1.27981e+09,-12375.7,0.00290228,0.029581,0,0.0297231,-38155,-45603.7,-0,59460.1,12375.7
step02_gravity_refstate-mantle.xmf,18,1.51374e-06,2.47009e-06,0,-3.43634e-07,-1.28603e+09,-1.2859e+09,-1.28623e+09,-45926.7,0.0108558,0.0313016,0,0.0331306,-33123.7,-45802.3,-0,56524.6,45926.7
step02_gravity_refstate-mantle.xmf,19,1.43048e-06,2.4299e-06,0,-2.48836e-07,-1.26632e+09,-1.26619e+09,-1.26651e+09,-33256.9,0.00755145,0.0316982,0,0.0325853,-34872.1,-45192.9,-0,57083,33256.9
step02_gravity_refstate-mantle.xmf,20,1.6707e-06,2.49809e-06,0,-4.24268e-07,-1.31757e+09,-1.31746e+09,-1.31779e+09,-56703.4,0.0148979,0.0301505,0,0.0336304,-31539.8,-46777.8,-0,56417.4,56703.4
step02_gravity_refstate-mantle.xmf,21,1.38671e-06,2.67799e-06,0,-4.73806e-07,-1.28796e+09,-1.28779e+09,-1.28815e+09,-63324.2,0.0159294,0.0344612,0,0.0379647,-29702.2,-45861.9,-0,54640,63324.2
step02_gravity_refstate-mantle.xmf,22,1.2422e-06,2.61534e-06,0,-3.81724e-07,-1.25767e+09,-1.25749e+09,-1.25783e+09,-51017.4,0.0117278,0.0349353,0,0.0368513,-31488,-44924.9,-0,54861.1,51017.4
step02_gravity_refstate-mantle.xmf,23,2.28793e-06,2.247e-06,0,-3.42359e-07,-1.40746e+09,-1.40747e+09,-1.40777e+09,-45756.3,0.015416,0.0223245,0,0.02713,-33327.9,-49558.1,-0,59722.3,45756.3
step02_gravity_refstate-mantle.xmf,24,2.08614e-06,2.38033e-06,0,-4.23104e-07,-1.3787e+09,-1.37866e+09,-1.37898e+09,-56547.9,0.017795,0.0254278,0,0.031036,-31674.4,-48668.7,-0,58068.1,56547.9
step02_gravity_refstate-mantle.xmf,25,2.77499e-06,2.06139e-06,0,-2.16932e-07,-1.49896e+09,-1.49905e+09,-1.49933e+09,-28992.9,0.0136205,0.0155627,0,0.0206812,-35087.1,-52387.2,-0,63051.8,28992.9
step02_gravity_refstate-mantle.xmf,26,3.22246e-06,1.94258e-06,0,-3.73098e-08,-1.63329e+09,-1.63347e+09,-1.63372e+09,-4986.46,0.00540572,0.00688136,0,0.00875071,-38318.4,-56539.5,-0,68300.9,4986.46
step02_gravity_refstate-mantle.xmf,27,3.1361e-06,1.96642e-06,0,-9.88934e-08,-1.59794e+09,-1.59809e+09,-1.59836e+09,-13217.1,0.01046,0.00913518,0,0.0138875,-36657.2,-55446.8,-0,66468.8,13217.1
step02_gravity_refstate-mantle.xmf,28,3.28474e-06,1.95571e-06,0,3.50448e-10,-1.67153e+09,-1.67171e+09,-1.67197e+09,46.8373,-7.49969e-20,0.00454901,-0,0.00454901,-40000,-57721,-0,70226.2,46.8373
step02_gravity_refstate-mantle.xmf,29,1.41833e-06,2.39292e-06,0,-1.67018e-07,-1.25931e+09,-1.25918e+09,-1.2595e+09,-22322,0.00502774,0.0314925,0,0.0318913,-36513.2,-44976.3,-0,57931.7,22322
step02_gravity_refstate-mantle.xmf,30,1.34309e-06,2.38066e-06,0,-2.8481e-09,-1.2409e+09,-1.24076e+09,-1.24108e+09,-380.648,-2.401e-19,0.0322292,-0,0.0322292,-40000,-44407.1,-0,59766.1,380.648
step02_gravity_refstate-mantle.xmf,31,1.01078e-06,2.75113e-06,0,-3.96844e-07,-1.23592e+09,-1.23569e+09,-1.23606e+09,-53038.2,0.0120244,0.0383464,0,0.0401874,-30084.6,-44252,-0,53510,53038.2
step02_gravity_refstate-mantle.xmf,32,9.51951e-07,2.8579e-06,0,-4.41468e-07,-1.23971e+09,-1.23946e+09,-1.23984e+09,-59002.2,0.0137198,0.0400981,0,0.0423803,-28631.9,-44368.9,-0,52805.2,59002.2
step02_gravity_refstate-mantle.xmf,33,1.25736e-06,2.82811e-06,0,-5.12143e-07,-1.28223e+09,-1.28202e+09,-1.28239e+09,-68447.9,0.0176974,0.0372829,0,0.04127,-28048.6,-45684.2,-0,53607.5,68447.9
step02_gravity_refstate-mantle.xmf,34,1.85866e-06,2.54066e-06,0,-4.90125e-07,-1.35091e+09,-1.35082e+09,-1.35116e+09,-65505.2,0.0195951,0.0290633,0,0.035052,-29977.5,-47809.1,-0,56430.1,65505.2
step02_gravity_refstate-mantle.xmf,35,2.63269e-06,2.15721e-06,0,-3.04002e-07,-1.47e+09,-1.47007e+09,-1.47035e+09,-40629.9,0.0173027,0.0180128,0,0.0249768,-33440.3,-51492,-0,61397.8,40629.9
step02_gravity_refstate-mantle.xmf,36,3.02907e-06,2.01901e-06,0,-1.72198e-07,-1.5625e+09,-1.56264e+09,-1.56291e+09,-23014.3,0.0148587,0.0115554,0,0.0188231,-35082,-54351.7,-0,64690.4,23014.3
step02_gravity_refstate-mantle.xmf,37,3.31234e-06,1.98079e-06,0,-2.04685e-08,-1.69337e+09,-1.69355e+09,-1.69381e+09,-2735.61,0.00529106,0.00323312,0,0.00620067,-38401,-58396,-0,69890.8,2735.61
step02_gravity_refstate-mantle.xmf,38,3.33448e-06,2.0379e-06,0,6.51306e-09,-1.74529e+09,-1.74546e+09,-1.74573e+09,870.471,4.95695e-19,-4.16325e-20,0,4.9744e-19,-40000,-60000,-0,72111,870.471
step02_gravity_refstate-mantle.xmf,39,8.73887e-07,3.01458e-06,0,-4.84694e-07,-1.24599e+09,-1.24571e+09,-1.24611e+09,-64779.3,0.0159178,0.0427832,0,0.0456484,-26801.9,-44562.8,-0,52001.8,64779.3
step02_gravity_refstate-mantle.xmf,40,1.12847e-06,2.4456e-06,0,-8.45854e-08,-1.20798e+09,-1.20781e+09,-1.20813e+09,-11304.8,0.00232241,0.0349067,0,0.0349839,-37964.5,-43388.9,-0,57653.3,11304.8
step02_gravity_refstate-mantle.xmf,41,1.07573e-06,2.50032e-06,0,-1.71611e-07,-1.20802e+09,-1.20783e+09,-1.20816e+09,-22935.8,0.00489874,0.0357459,0,0.03608,-35641.5,-43389.8,-0,56151.5,22935.8
step02_gravity_refstate-mantle.xmf,42,1.04564e-06,2.5833e-06,0,-2.69114e-07,-1.21745e+09,-1.21724e+09,-1.21759e+09,-35967.1,0.00773721,0.036542,0,0.0373522,-33282.5,-43681.1,-0,54915.9,35967.1
step02_gravity_refstate-mantle.xmf,43,8.21159e-07,2.73249e-06,0,-3.06353e-07,-1.20094e+09,-1.20068e+09,-1.20105e+09,-40944.1,0.00889924,0.0399267,0,0.0409064,-31211,-43170,-0,53270.8,40944.1
step02_gravity_refstate-mantle.xmf,44,1.63363e-06,2.71456e-06,0,-5.35311e-07,-1.32796e+09,-1.32782e+09,-1.32818e+09,-71544.3,0.0208801,0.0329359,0,0.0389969,-28333.4,-47099.2,-0,54964.7,71544.3
step02_gravity_refstate-mantle.xmf,45,1.36544e-06,2.90621e-06,0,-5.52134e-07,-1.30344e+09,-1.30324e+09,-1.30363e+09,-73792.8,0.0211894,0.0375768,0,0.0431394,-26771.9,-46340.4,-0,53517.9,73792.8
step02_gravity_refstate-mantle.xmf,46,6.02452e-07,3.23023e-06,0,-4.58471e-07,-1.23222e+09,-1.23187e+09,-1.2323e+09,-61274.7,0.0158616,0.0480955,0,0.0506435,-25043.5,-44136,-0,50746.1,61274.7
step02_gravity_refstate-mantle.xmf,47,1.11712e-06,3.09827e-06,0,-5.44688e-07,-1.28476e+09,-1.28449e+09,-1.28491e+09,-72797.5,0.0212083,0.0423297,0,0.0473455,-25299.9,-45762.1,-0,52290.1,72797.5
step02_gravity_refstate-mantle.xmf,48,2.45932e-06,2.28369e-06,0,-3.91729e-07,-1.43981e+09,-1.43983e+09,-1.44013e+09,-52354.6,0.0204665,0.0209666,0,0.0292998,-31752.3,-50558.4,-0,59702.3,52354.6
step02_gravity_refstate-mantle.xmf,49,2.26411e-06,2.43584e-06,0,-4.686e-07,-1.41093e+09,-1.4109e+09,-1.41123e+09,-62628.4,0.0229635,0.0243394,0,0.0334623,-30084.7,-49665.4,-0,58066.7,62628.4
step02_gravity_refstate-mantle.xmf,50,2.91489e-06,2.098e-06,0,-2.50083e-07,-1.53138e+09,-1.53149e+09,-1.53177e+09,-33423.6,0.0188125,0.0139411,0,0.023415,-33531.4,-53389.7,-0,63046.1,33423.6
step02_gravity_refstate-mantle.xmf,51,3.29534e-06,1.99549e-06,0,-5.63002e-08,-1.67546e+09,-1.67563e+09,-1.6759e+09,-7524.52,0.0114849,0.00439983,0,0.0122988,-36509.6,-57842.6,-0,68401.1,7524.52
step02_gravity_refstate-mantle.xmf,52,3.21474e-06,2.02154e-06,0,-1.23044e-07,-1.62655e+09,-1.62671e+09,-1.62698e+09,-16444.8,0.0164198,0.00758909,0,0.0180888,-34875.8,-56331.3,-0,66253.6,16444.8
step02_gravity_refstate-mantle.xmf,53,3.33979e-06,2.05779e-06,0,7.20101e-09,-1.74529e+09,-1.74546e+09,-1.74573e+09,962.415,0.00814042,-5.63113e-20,0,0.00814042,-37559.4,-60000,-0,70786.4,962.415
