Block Name,Point ID,cauchy_strain_0,cauchy_strain_1,cauchy_strain_2,cauchy_strain_3,cauchy_stress_0,cauchy_stress_1,cauchy_stress_2,cauchy_stress_3,displacement_0,displacement_1,displacement_2,displacement_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,stress_xy
step02_gravity_refstate-mantle.xmf,0,1.82866e-06,2.16829e-06,0,-1.85466e-10,-1.7456e+09,-1.74556e+09,-1.74585e+09,-24.7875,0.0116881,2.05059e-19,0,0.0116881,-33334.3,-60000,-0,68638,24.7875
step02_gravity_refstate-mantle.xmf,1,1.89616e-06,2.18557e-06,0,-1.43791e-10,-1.74559e+09,-1.74555e+09,-1.74584e+09,-19.2177,0.0154028,9.98112e-19,0,0.0154028,-31323.8,-60000,-0,67684.4,19.2177
step02_gravity_refstate-mantle.xmf,2,1.83087e-06,2.10794e-06,0,-9.76591e-08,-1.69123e+09,-1.6912e+09,-1.69148e+09,-13052.1,0.0132941,0.00359778,0,0.0137723,-32361,-58320.3,-0,66697,13052.1
step02_gravity_refstate-mantle.xmf,3,1.77931e-06,2.15729e-06,0,-1.15108e-09,-1.74562e+09,-1.74557e+09,-1.74585e+09,-153.842,0.00790841,1.27025e-18,0,0.00790841,-35446.9,-60000,-0,69688.5,153.842
step02_gravity_refstate-mantle.xmf,4,1.77396e-06,2.09317e-06,0,-7.0266e-08,-1.69063e+09,-1.69059e+09,-1.69087e+09,-9391.06,0.00965723,0.00361318,0,0.010311,-34390.6,-58301.3,-0,67688.7,9391.06
step02_gravity_refstate-mantle.xmf,5,1.73053e-06,2.14777e-06,0,2.06199e-09,-1.74563e+09,-1.74557e+09,-1.74586e+09,275.585,-2.53267e-19,1.43809e-18,-0,1.46022e-18,-40000,-60000,-0,72111,275.585
step02_gravity_refstate-mantle.xmf,6,1.74481e-06,2.15248e-06,0,1.41271e-09,-1.74562e+09,-1.74557e+09,-1.74586e+09,188.809,0.00402558,2.60138e-19,0,0.00402558,-37667,-60000,-0,70843.5,188.809
step02_gravity_refstate-mantle.xmf,7,1.70818e-06,2.08719e-06,0,-1.44173e-08,-1.69644e+09,-1.69639e+09,-1.69667e+09,-1926.87,0.00259446,0.0032193,0,0.00413462,-38479.3,-58480.3,-0,70004.3,1926.87
step02_gravity_refstate-mantle.xmf,8,1.72045e-06,2.07065e-06,0,-5.31579e-08,-1.67955e+09,-1.67951e+09,-1.67978e+09,-7104.55,0.00593345,0.00431218,0,0.0073349,-36507.5,-57958.7,-0,68498.2,7104.55
step02_gravity_refstate-mantle.xmf,9,1.6897e-06,2.06088e-06,0,7.02329e-10,-1.67403e+09,-1.67398e+09,-1.67425e+09,93.8663,-2.81782e-19,0.004657,-0,0.004657,-40000,-57787.8,-0,70281.1,93.8663
step02_gravity_refstate-mantle.xmf,10,1.95983e-06,2.21285e-06,0,3.91376e-09,-1.74557e+09,-1.74554e+09,-1.74583e+09,523.074,0.0190774,-4.45615e-20,0,0.0190774,-29410.7,-60000,-0,66820.6,523.074
step02_gravity_refstate-mantle.xmf,11,1.88817e-06,2.13037e-06,0,-1.21821e-07,-1.69101e+09,-1.69098e+09,-1.69126e+09,-16281.3,0.0169564,0.00365052,0,0.0173449,-30382.9,-58313.9,-0,65754.3,16281.3
step02_gravity_refstate-mantle.xmf,12,1.64712e-06,2.03702e-06,0,-4.04843e-08,-1.63738e+09,-1.63733e+09,-1.6376e+09,-5410.73,0.00286876,0.00698319,0,0.00754949,-38251.5,-56655.3,-0,68359.4,5410.73
step02_gravity_refstate-mantle.xmf,13,1.97352e-06,2.1714e-06,0,-1.47012e-07,-1.69614e+09,-1.69611e+09,-1.6964e+09,-19648.2,0.0206389,0.00336255,0,0.020911,-28500.3,-58472.9,-0,65048.9,19648.2
step02_gravity_refstate-mantle.xmf,14,1.77289e-06,2.08935e-06,0,-2.134e-07,-1.63992e+09,-1.63988e+09,-1.64016e+09,-28521,0.0145705,0.00695025,0,0.0161433,-31362.4,-56735,-0,64826.4,28521
step02_gravity_refstate-mantle.xmf,15,1.72838e-06,2.06304e-06,0,-1.64714e-07,-1.63678e+09,-1.63674e+09,-1.63701e+09,-22014,0.0112081,0.00708939,0,0.0132621,-33267,-56637.6,-0,65684.9,22014
step02_gravity_refstate-mantle.xmf,16,1.68627e-06,2.05134e-06,0,-1.17492e-07,-1.63726e+09,-1.63721e+09,-1.63748e+09,-15702.8,0.00829612,0.00702291,0,0.0108695,-34982.2,-56651.8,-0,66582.2,15702.8
